epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
138,5932.56,0.91806,0.55535,0.861,0.93333,0.93092,0.9253,0.63313,1.04825,0.66185,0.89582,0.000536524,0.000536524,0.000536524
139,5970.85,0.91318,0.5604,0.85761,0.9269,0.92974,0.92387,0.63406,1.04117,0.6638,0.89403,0.000528272,0.000528272,0.000528272
140,6015.64,0.90951,0.54357,0.85914,0.92238,0.92229,0.9259,0.63431,1.04921,0.66353,0.89572,0.000520021,0.000520021,0.000520021
141,6061.93,0.90642,0.55627,0.85819,0.9135,0.92722,0.92446,0.63262,1.04008,0.66225,0.8933,0.000511769,0.000511769,0.000511769
142,6104.37,0.90012,0.54924,0.85925,0.92571,0.92196,0.92409,0.63447,1.04016,0.66364,0.89272,0.000503517,0.000503517,0.000503517
143,6144.95,0.90315,0.55793,0.8609,0.92874,0.93368,0.92493,0.63188,1.03974,0.64866,0.89027,0.000495266,0.000495266,0.000495266
144,6189.98,0.90809,0.54903,0.85006,0.92413,0.93262,0.92492,0.63442,1.04443,0.6561,0.89268,0.000487014,0.000487014,0.000487014
145,6238.15,0.90928,0.55598,0.85753,0.92448,0.93446,0.9251,0.63514,1.04911,0.65789,0.8941,0.000478762,0.000478762,0.000478762
146,6277.72,0.89023,0.53887,0.85279,0.92636,0.93516,0.92374,0.63626,1.05562,0.65143,0.89838,0.000470511,0.000470511,0.000470511
147,6320.52,0.87726,0.53309,0.85344,0.92325,0.93446,0.92931,0.63233,1.05829,0.65012,0.89759,0.000462259,0.000462259,0.000462259
148,6365.75,0.90443,0.55393,0.85053,0.92536,0.93274,0.92731,0.63616,1.04951,0.6519,0.89436,0.000454007,0.000454007,0.000454007
149,6411.64,0.89734,0.53854,0.85244,0.92172,0.93404,0.92785,0.63827,1.04898,0.65336,0.89411,0.000445756,0.000445756,0.000445756
150,6449.38,0.887,0.52218,0.85357,0.92307,0.93572,0.9279,0.64315,1.04924,0.64523,0.89565,0.000437504,0.000437504,0.000437504
151,6495.2,0.89381,0.54859,0.85355,0.92603,0.92737,0.9239,0.64071,1.05502,0.64936,0.89648,0.000429253,0.000429253,0.000429253
152,6540.07,0.89434,0.55,0.85422,0.9336,0.93808,0.92641,0.63987,1.04862,0.64085,0.89526,0.000421001,0.000421001,0.000421001
153,6583.66,0.89052,0.54598,0.85292,0.93035,0.93051,0.9248,0.64261,1.04259,0.64307,0.89478,0.000412749,0.000412749,0.000412749
154,6623.03,0.89174,0.54923,0.85547,0.93081,0.92948,0.92445,0.64293,1.04265,0.64052,0.89479,0.000404498,0.000404498,0.000404498
155,6672.69,0.89246,0.53982,0.85291,0.93339,0.93406,0.92552,0.63757,1.04482,0.64379,0.89411,0.000396246,0.000396246,0.000396246
156,6717.82,0.88327,0.53203,0.85178,0.92599,0.93338,0.9245,0.64054,1.04964,0.64706,0.89497,0.000387994,0.000387994,0.000387994
157,6761.69,0.87973,0.54073,0.84929,0.92896,0.92892,0.92267,0.6346,1.06067,0.65008,0.89818,0.000379743,0.000379743,0.000379743
158,6802.54,0.88589,0.54801,0.85703,0.92896,0.92986,0.92855,0.63939,1.06767,0.64018,0.89847,0.000371491,0.000371491,0.000371491
159,6850.64,0.88023,0.54624,0.84928,0.93586,0.93544,0.92895,0.64279,1.06931,0.64735,0.90113,0.000363239,0.000363239,0.000363239
160,6898.03,0.86889,0.52388,0.85079,0.93509,0.92895,0.9283,0.64129,1.06338,0.64568,0.90105,0.000354988,0.000354988,0.000354988
161,6941.27,0.87527,0.53143,0.85183,0.93204,0.93693,0.92669,0.63982,1.0627,0.64741,0.89998,0.000346736,0.000346736,0.000346736
162,6985.58,0.86399,0.5383,0.85002,0.93198,0.93242,0.92646,0.64038,1.06304,0.64555,0.89966,0.000338484,0.000338484,0.000338484
163,7030.84,0.87585,0.53327,0.85551,0.9257,0.93021,0.92704,0.64265,1.06726,0.64579,0.90035,0.000330233,0.000330233,0.000330233
164,7084.64,0.86571,0.52658,0.85171,0.92766,0.93498,0.92639,0.64104,1.06243,0.64403,0.8991,0.000321981,0.000321981,0.000321981
165,7130.18,0.8668,0.52533,0.85088,0.92269,0.93021,0.92495,0.63752,1.06148,0.64803,0.89931,0.000313729,0.000313729,0.000313729
166,7177.25,0.87966,0.52761,0.84938,0.92377,0.93406,0.92809,0.6394,1.06241,0.64773,0.90156,0.000305478,0.000305478,0.000305478
167,7219.91,0.86685,0.52876,0.84915,0.92348,0.93462,0.92713,0.63583,1.05916,0.64987,0.90116,0.000297226,0.000297226,0.000297226
168,7273.7,0.88357,0.53906,0.84885,0.92673,0.93522,0.92708,0.63583,1.06294,0.6493,0.90275,0.000288974,0.000288974,0.000288974
169,7316,0.86234,0.53518,0.84896,0.92633,0.93636,0.92564,0.63507,1.06439,0.65119,0.90292,0.000280723,0.000280723,0.000280723
170,7358.05,0.86916,0.51785,0.84656,0.92485,0.93935,0.92609,0.63543,1.06675,0.64948,0.90301,0.000272471,0.000272471,0.000272471
171,7404.41,0.8575,0.51587,0.85006,0.92346,0.93328,0.92627,0.63709,1.06825,0.64868,0.90388,0.00026422,0.00026422,0.00026422
172,7448.04,0.85811,0.52501,0.84764,0.92266,0.93257,0.92517,0.63722,1.06876,0.64474,0.9033,0.000255968,0.000255968,0.000255968
173,7489.27,0.86239,0.51256,0.85021,0.92655,0.937,0.92655,0.63912,1.0697,0.64666,0.90389,0.000247716,0.000247716,0.000247716
174,7535.28,0.86995,0.52052,0.85209,0.92415,0.93396,0.92588,0.63838,1.06702,0.64694,0.90316,0.000239465,0.000239465,0.000239465
175,7580.1,0.85871,0.52526,0.84802,0.92552,0.93489,0.92664,0.63836,1.06809,0.64759,0.90278,0.000231213,0.000231213,0.000231213
176,7619.81,0.84896,0.51504,0.85263,0.92432,0.93367,0.92917,0.63631,1.06765,0.65034,0.9035,0.000222961,0.000222961,0.000222961
177,7666.09,0.85539,0.5159,0.84717,0.92311,0.93326,0.92754,0.63758,1.07138,0.64594,0.90379,0.00021471,0.00021471,0.00021471
178,7712.7,0.85009,0.51957,0.84745,0.92094,0.93149,0.92478,0.63554,1.06796,0.64592,0.90373,0.000206458,0.000206458,0.000206458
179,7751.11,0.84954,0.51391,0.84474,0.92005,0.92902,0.92372,0.63672,1.06894,0.65028,0.90384,0.000198206,0.000198206,0.000198206
